archivo,columna_target,valor,cantidad,descripcion
databases/splits/folds/hongos/train_fold_1_hongos.csv,HONG,0,589,
databases/splits/folds/hongos/train_fold_1_hongos.csv,HONG,1,59,
databases/splits/folds/hongos/val_fold_10_hongos.csv,HONG,0,65,
databases/splits/folds/hongos/val_fold_10_hongos.csv,HONG,1,7,
databases/splits/folds/hongos/val_fold_9_hongos.csv,HONG,0,65,
databases/splits/folds/hongos/val_fold_9_hongos.csv,HONG,1,7,
databases/splits/folds/hongos/val_fold_4_hongos.csv,HONG,0,66,
databases/splits/folds/hongos/val_fold_4_hongos.csv,HONG,1,6,
databases/splits/folds/hongos/train_fold_10_hongos.csv,HONG,0,590,
databases/splits/folds/hongos/train_fold_10_hongos.csv,HONG,1,58,
databases/splits/folds/hongos/train_fold_4_hongos.csv,HONG,0,589,
databases/splits/folds/hongos/train_fold_4_hongos.csv,HONG,1,59,
databases/splits/folds/hongos/val_fold_6_hongos.csv,HONG,0,65,
databases/splits/folds/hongos/val_fold_6_hongos.csv,HONG,1,7,
databases/splits/folds/virus/train_fold_5_virus.csv,VIRUS,0,543,
databases/splits/folds/virus/train_fold_5_virus.csv,VIRUS,1,105,
databases/splits/folds/virus/train_fold_8_virus.csv,VIRUS,0,543,
databases/splits/folds/virus/train_fold_8_virus.csv,VIRUS,1,105,
databases/splits/folds/virus/val_fold_3_virus.csv,VIRUS,0,61,
databases/splits/folds/virus/val_fold_3_virus.csv,VIRUS,1,11,
databases/splits/folds/virus/train_fold_9_virus.csv,VIRUS,0,543,
databases/splits/folds/virus/train_fold_9_virus.csv,VIRUS,1,105,
databases/splits/folds/virus/val_fold_1_virus.csv,VIRUS,0,61,
databases/splits/folds/virus/val_fold_1_virus.csv,VIRUS,1,11,
databases/splits/folds/virus/val_fold_6_virus.csv,VIRUS,0,60,
databases/splits/folds/virus/val_fold_6_virus.csv,VIRUS,1,12,
databases/splits/folds/virus/train_fold_1_virus.csv,VIRUS,0,542,
databases/splits/folds/virus/train_fold_1_virus.csv,VIRUS,1,106,
databases/splits/folds/virus/val_fold_7_virus.csv,VIRUS,0,60,
databases/splits/folds/virus/val_fold_7_virus.csv,VIRUS,1,12,
databases/splits/folds/virus/val_fold_10_virus.csv,VIRUS,0,60,
databases/splits/folds/virus/val_fold_10_virus.csv,VIRUS,1,12,
databases/splits/folds/virus/val_fold_9_virus.csv,VIRUS,0,60,
databases/splits/folds/virus/val_fold_9_virus.csv,VIRUS,1,12,
databases/splits/folds/virus/val_fold_5_virus.csv,VIRUS,0,60,
databases/splits/folds/virus/val_fold_5_virus.csv,VIRUS,1,12,
databases/splits/folds/virus/train_fold_2_virus.csv,VIRUS,0,542,
databases/splits/folds/virus/train_fold_2_virus.csv,VIRUS,1,106,
databases/splits/folds/virus/train_fold_6_virus.csv,VIRUS,0,543,
databases/splits/folds/virus/train_fold_6_virus.csv,VIRUS,1,105,
databases/splits/folds/virus/train_fold_3_virus.csv,VIRUS,0,542,
databases/splits/folds/virus/train_fold_3_virus.csv,VIRUS,1,106,
databases/splits/folds/virus/train_fold_10_virus.csv,VIRUS,0,543,
databases/splits/folds/virus/train_fold_10_virus.csv,VIRUS,1,105,
databases/splits/folds/virus/val_fold_8_virus.csv,VIRUS,0,60,
databases/splits/folds/virus/val_fold_8_virus.csv,VIRUS,1,12,
databases/splits/folds/virus/train_fold_7_virus.csv,VIRUS,0,543,
databases/splits/folds/virus/train_fold_7_virus.csv,VIRUS,1,105,
databases/splits/folds/virus/val_fold_4_virus.csv,VIRUS,0,60,
databases/splits/folds/virus/val_fold_4_virus.csv,VIRUS,1,12,
databases/splits/folds/virus/val_fold_2_virus.csv,VIRUS,0,61,
databases/splits/folds/virus/val_fold_2_virus.csv,VIRUS,1,11,
databases/splits/folds/virus/train_fold_4_virus.csv,VIRUS,0,543,
databases/splits/folds/virus/train_fold_4_virus.csv,VIRUS,1,105,
