feature,importance,C_value
GPT_homogeneous,0.01993762393073628,0.01
Potasio_quartile1,0.019855681062085743,0.01
Linea1Nivo,0.01974201211845195,0.01
EnfCerebroVascular,0.01956956144193081,0.01
Potasio_kurtosis,0.019326715478624128,0.01
missingindicator_Fosfatasa Alcalina_initial,0.019284468744060635,0.01
LDH_sum,0.018964465406122705,0.01
TP (s)_skewness,0.018821470388242018,0.01
Sodio_quartile3,0.01880437071138039,0.01
Albumina_skewness,0.018607665573235503,0.01
Sodio_kurtosis,0.01859618313532859,0.01
Trasplante,0.017646486601393705,0.01
Neutrófilos_skewness,0.017591417365370787,0.01
TP (s)_kurtosis,0.01746987485032549,0.01
Plaquetas_std,0.01746530964561492,0.01
TP (s)_max,0.017223688394806314,0.01
Urea_mean,0.01698396405018022,0.01
Alcohol,0.016868773060567777,0.01
Urea_initial,0.016806346992329583,0.01
Hemoglobina_median,0.01679393464245082,0.01
GOT_quartile3,0.016658525612893688,0.01
Creatinina_initial,0.01647876618970557,0.01
Plaquetas_initial,0.016458802686197302,0.01
GPT_rms,0.016409867534244265,0.01
Linea1Beva,0.016389999162314497,0.01
GGT_homogeneous,0.01626356347775322,0.01
Neutrófilos_std,0.01621308589150849,0.01
Leucocitos_std,0.016179274539754852,0.01
Albumina_quartile1,0.016125911017308897,0.01
TTPa (s)_iqr,0.01597518331313558,0.01
Potasio_initial,0.015812573635751205,0.01
TTPa (s)_mean,0.015783968184327007,0.01
Atezolumab,0.015777994173685445,0.01
TP (s)_std,0.01577580245236576,0.01
Creatinina_mean,0.01577036157255077,0.01
Albumina_median,0.015516424408484952,0.01
Potasio_max,0.015419784040099043,0.01
TP (s)_min,0.01534240590213327,0.01
Glucosa_kurtosis,0.015304546655755017,0.01
Glucosa_max,0.015279970591472522,0.01
Leucocitos_mean,0.015275661370952463,0.01
Calcio_kurtosis,0.015202419681331437,0.01
missingindicator_GOT_initial,0.01511354197502324,0.01
Lorlatinib,0.015064045688588105,0.01
Neutrófilos_mean,0.01506002535382165,0.01
Potasio_sum,0.014701726541298308,0.01
Calcio_skewness,0.014686159578807294,0.01
Linfocitos_std,0.014679706050144483,0.01
GOT_initial,0.014613569523116796,0.01
