feature,importance,C_value
HONG.1,0.7798471833940196,0.01
TNMIV,0.13136809776452754,0.01
TNMCOD,0.10876478559664014,0.01
Radioterapia,0.09982931278672126,0.01
Sodio_min,0.08441922401464105,0.01
Adenocarcinoma,0.0741943932816761,0.01
Adenoescamoso,0.07319844622054571,0.01
Linfocitos_min,0.07061683099949712,0.01
Sodio_median,0.06550009794480706,0.01
EnfDigest,0.05931119570523046,0.01
Plaquetas_iqr,0.05785335064551381,0.01
Hemoglobina_std,0.057771630242657065,0.01
Linfocitos_sum,0.054442367704031804,0.01
Albumina_sum,0.05338029686978073,0.01
Vinorelbina,0.05312418669406847,0.01
TTPa (s)_kurtosis,0.05180128330191627,0.01
Cardiopatía,0.051697090885801024,0.01
GGT_std,0.05073494484908652,0.01
GPT_min,0.04853332179493029,0.01
Hepatopatía,0.0481680642363738,0.01
QTprevia,0.047675525454031205,0.01
Hemoglobina_initial,0.046206471020048163,0.01
Hemoglobina_skewness,0.04538741518636329,0.01
Leucocitos_sum,0.04447447016404702,0.01
Linea1Cisplatino,0.04425660172461075,0.01
Leucocitos_kurtosis,0.04342300087547564,0.01
missingindicator_TP (s)_initial,0.043223317992906816,0.01
missingindicator_TTPa (s)_initial,0.043223317992906816,0.01
Linfocitos_median,0.04308214782247158,0.01
Creatinina_kurtosis,0.042309042953589907,0.01
GPT_sum,0.04101441750554605,0.01
Sodio_skewness,0.04096662560115769,0.01
Plaquetas_skewness,0.04077163124453314,0.01
Calcio_max,0.04021132471901525,0.01
Albumina_homogeneous,0.03940966458764999,0.01
Fosfatasa Alcalina_kurtosis,0.03929269587221881,0.01
Neutrófilos_quartile1,0.03901964235585565,0.01
Neutrófilos_kurtosis,0.038732756443110763,0.01
Leucocitos_initial,0.038452804796636646,0.01
Nivolumab,0.03819631775014236,0.01
GGT_median,0.03807291954946387,0.01
Linea1Pemetrexed,0.037995028435497555,0.01
TTPa (s)_std,0.03786534238130538,0.01
Glucosa_sum,0.03780664403761356,0.01
Linea1Vinorelbina,0.03773927580380102,0.01
TP (s)_sum,0.035270259742148785,0.01
QTinmunosupresores,0.034992597954442185,0.01
Fosfatasa Alcalina_median,0.03458627734088766,0.01
DosisRT,0.03424492255353527,0.01
TTPa (s)_initial,0.03418474415602541,0.01
GGT_kurtosis,0.03403666769566446,0.01
Creatinina_iqr,0.0338733601880475,0.01
Linea1Carbo,0.03289619031372545,0.01
Hemoglobina_iqr,0.03269003219042401,0.01
Cisplatino,0.032423512595424746,0.01
Hemoglobina_max,0.03222455138135231,0.01
Alcohol,0.03182139551687146,0.01
Calcio_std,0.03169604407843696,0.01
GOT_quartile1,0.03164198756815326,0.01
Fosfatasa Alcalina_skewness,0.03159292823626116,0.01
Fosfatasa Alcalina_max,0.03101188435248262,0.01
Pemetrexed,0.030396611379633027,0.01
Carboplatino,0.030396611379633027,0.01
NºLineas,0.030362741704602195,0.01
missingindicator_GPT_initial,0.030324642422565155,0.01
GGT_min,0.03002183579930241,0.01
Potasio_skewness,0.03000239122747203,0.01
Neutrófilos_min,0.029990431673128922,0.01
LDH_median,0.02942854844180634,0.01
HistOtros,0.02935980889864297,0.01
