feature,importance,C_value
VIRUS.1,1.0420670782007408,0.01
TNMIV,0.0956373569576006,0.01
TNMCOD,0.07671314756093292,0.01
Albumina_homogeneous,0.07408084666096522,0.01
Hemoglobina_initial,0.06484740619076781,0.01
Linfocitos_sum,0.06272401267958778,0.01
Adenocarcinoma,0.056538588926811344,0.01
missingindicator_Calcio_initial,0.054799498349267436,0.01
Sexo,0.05376553227203319,0.01
CelPeq,0.05163674747045544,0.01
Radioterapia,0.051198206791868456,0.01
Calcio_std,0.050795068356839154,0.01
Albumina_max,0.050271166330645475,0.01
GPT_initial,0.050027762291347255,0.01
Sodio_iqr,0.0480824738371786,0.01
OtrosFarmacos,0.04718145983284602,0.01
Calcio_homogeneous,0.047158117218830294,0.01
Adenoescamoso,0.045636014254224595,0.01
Fosfatasa Alcalina_median,0.044870268420753,0.01
Linea1Etoposido,0.044005677736490285,0.01
GOT_min,0.043931391121115604,0.01
Creatinina_kurtosis,0.043906613179399895,0.01
Linfocitos_min,0.04267666624699814,0.01
FRA,0.04222180205691307,0.01
Plaquetas_kurtosis,0.042009563816224525,0.01
Etoposido,0.041240318061130994,0.01
GGT_std,0.04035208863868399,0.01
Calcio_sum,0.03971906805773347,0.01
Plaquetas_sum,0.038401405066497425,0.01
EPOCAsma,0.03835889121493673,0.01
Bilirrubina total_median,0.038211006700419235,0.01
Glucosa_median,0.038204513821995106,0.01
Pemetrexed,0.03797081302858575,0.01
Carboplatino,0.03797081302858575,0.01
Leucocitos_skewness,0.037237828893052535,0.01
Hemoglobina_median,0.03701748058676188,0.01
TTPa (s)_sum,0.036709918192833084,0.01
Linfocitos_iqr,0.03659649076121515,0.01
Hemoglobina_min,0.03632303925026816,0.01
Glucosa_std,0.03625901105452147,0.01
Bilirrubina total_kurtosis,0.03600445697166779,0.01
Paclitaxel,0.035997275486716725,0.01
NºLineas,0.03516243282157027,0.01
Urea_min,0.035063190627201674,0.01
Creatinina_min,0.03497604303957429,0.01
Leucocitos_median,0.0348181117305566,0.01
Creatinina_initial,0.03481135383808526,0.01
TTPa (s)_homogeneous,0.03463648758337611,0.01
Sodio_median,0.03396494507214433,0.01
Fosfatasa Alcalina_initial,0.033621686945097116,0.01
LDH_iqr,0.03353305303152215,0.01
missingindicator_Potasio_initial,0.0333083066930477,0.01
missingindicator_Sodio_initial,0.0333083066930477,0.01
Plaquetas_std,0.03235270096958249,0.01
Hemoglobina_sum,0.03197647780657955,0.01
TTPa (s)_kurtosis,0.0319574987041493,0.01
Bilirrubina total_sum,0.03191807074569782,0.01
Sodio_sum,0.03189908669555501,0.01
Glucosa_iqr,0.03163870468117164,0.01
CIsquémica,0.03159314856776732,0.01
GOT_std,0.03150140166341559,0.01
Creatinina_median,0.03142206622012159,0.01
TEP,0.03137475364224609,0.01
TP (s)_initial,0.03073907833568447,0.01
Creatinina_std,0.03062273352819881,0.01
Bevacizumab,0.03056354328091545,0.01
Neutrófilos_quartile1,0.030555558137177054,0.01
EnfNRL,0.030421863833581832,0.01
GPT_min,0.0301468257731857,0.01
GGT_skewness,0.030139794280405485,0.01
Neutrófilos_min,0.02997395694901219,0.01
Plaquetas_initial,0.029828844217272752,0.01
Linea1Beva,0.02924787960971215,0.01
TP (s)_homogeneous,0.02913865839070092,0.01
ERC,0.029026766364430825,0.01
Sodio_initial,0.02888140867362846,0.01
Sodio_quartile3,0.028149767353776445,0.01
missingindicator_Albumina_initial,0.027776064348357058,0.01
TTPa (s)_max,0.02750608463186905,0.01
Fosfatasa Alcalina_max,0.027502230138587595,0.01
Irinotecan,0.027492336943381594,0.01
Linfocitos_skewness,0.02729405280668763,0.01
GGT_iqr,0.02714262488703737,0.01
Urea_iqr,0.027035239560136246,0.01
Potasio_kurtosis,0.026794134564910782,0.01
Sodio_min,0.026408364495876854,0.01
TP (s)_iqr,0.02626511108096569,0.01
EnfDigest,0.026192559100845555,0.01
LDH_skewness,0.025858669121300394,0.01
Linea1Cisplatino,0.025846637090873172,0.01
missingindicator_Urea_initial,0.025186352883527514,0.01
Potasio_median,0.025158973477095954,0.01
Neutrófilos_quartile3,0.025101921749313416,0.01
GGT_median,0.024996978378152172,0.01
CADigestivo,0.024860544763964664,0.01
Calcio_kurtosis,0.024551994923445633,0.01
Plaquetas_quartile1,0.024449056778512765,0.01
GGT_kurtosis,0.024435451347059774,0.01
GOT_skewness,0.02435531927177292,0.01
GGT_max,0.024273501214555127,0.01
Cardiopatía,0.024190344156177823,0.01
Linfocitos_initial,0.02417973129351386,0.01
Albumina_sum,0.02400399035284899,0.01
Creatinina_sum,0.023939186826246083,0.01
HistOtros,0.023729640907397105,0.01
NeoHEM,0.02361842959695753,0.01
GPT_std,0.023551033100368088,0.01
Sodio_quartile1,0.02337295203071766,0.01
Potasio_quartile1,0.023312851247335988,0.01
TTPa (s)_iqr,0.023195086761310282,0.01
Linfocitos_quartile1,0.02318391037591694,0.01
