feature,mean_pos,median_pos,std_pos
LabuteASA,150.5,154.0,24.97298540423231
Chi0v,152.6,163.5,28.650305408494336
EState_VSA5,152.9,164.5,25.73888109456198
MaxEStateIndex,154.9,164.5,22.51865892987413
MaxAbsEStateIndex,155.2,163.5,22.175662335091594
SMR_VSA3,156.1,155.0,18.912694149697444
PEOE_VSA1,159.7,165.5,20.445292856792246
ExactMolWt,160.8,159.5,14.05560386465128
SlogP_VSA5,161.9,163.0,16.37345412550449
EState_VSA9,162.7,163.5,23.900000000000002
BalabanJ,163.0,172.5,23.85791273351464
SMR_VSA7,163.2,164.0,13.78259772321604
Chi0,165.0,165.0,14.142135623730951
Chi2n,169.2,173.0,19.47716611830376
SMR_VSA4,169.4,175.0,22.729716232280598
MinAbsEStateIndex,169.5,170.0,19.132433196015608
SlogP_VSA1,170.6,175.0,12.792185114357906
SMR_VSA1,170.7,176.5,15.356106277308712
PEOE_VSA10,171.4,178.0,19.246817918814525
EState_VSA10,172.8,175.0,6.7201190465645775
MinPartialCharge,177.2,178.5,9.734474818910366
SlogP_VSA6,177.6,179.5,11.456002793295749
PEOE_VSA7,178.7,178.5,6.341135544995076
SlogP_VSA3,179.1,181.5,9.459915433025817
EState_VSA1,179.6,183.5,10.131140113531153
HeavyAtomMolWt,187.2,187.5,5.095095681142799
SMR_VSA10,188.0,188.5,4.266145801540309
TPSA,188.8,189.0,3.4871191548325386
PEOE_VSA9,189.5,191.0,4.318564576337836
MinEStateIndex,190.6,191.0,2.537715508089904
MinAbsPartialCharge,193.8,194.0,1.1661903789690602
MaxPartialCharge,193.9,194.0,1.3
