file,mean,median,std
randomforest_train_fold_5_bacterias_normalized.csv,0.0015527950310558595,0.00125642918088435,0.001272556071761702
randomforest_train_fold_6_bacterias_normalized.csv,0.0015527950310558602,0.0012970515936198,0.0012919711462813274
randomforest_train_fold_7_bacterias_normalized.csv,0.001552795031055861,0.0011441448324675,0.001287854771416334
randomforest_train_fold_2_bacterias_normalized.csv,0.0015527950310558595,0.0013265107751083,0.001287573900507482
randomforest_train_fold_1_bacterias_normalized.csv,0.0015527950310558587,0.0014829317246496001,0.0012585649750744888
randomforest_train_fold_9_bacterias_normalized.csv,0.0015527950310558593,0.0013034386646844,0.0012742916840078626
randomforest_train_fold_10_bacterias_normalized.csv,0.0015527950310558598,0.0012536770038578502,0.0012895859205482806
randomforest_train_fold_4_bacterias_normalized.csv,0.0015527950310558578,0.00119722973213335,0.0012845510628608416
randomforest_train_fold_3_bacterias_normalized.csv,0.0015527950310558587,0.00132576146308705,0.001290126329706268
randomforest_train_fold_8_bacterias_normalized.csv,0.0015527950310558589,0.0013025553057698998,0.00127569006136057
