feature,importance,C_value
BACT.1,1.8361795788410882,0.1
Adenocarcinoma,0.13093238151989808,0.1
TNMIV,0.10983996517041215,0.1
HistOtros,0.1080916841870811,0.1
Adenoescamoso,0.08135011417617577,0.1
TNMCOD,0.08004053905509792,0.1
Sodio_min,0.06930076222222013,0.1
Linea1Cisplatino,0.06915185601034261,0.1
Linea1Vinorelbina,0.06318037583014241,0.1
Neutrófilos_sum,0.05745241154412041,0.1
Gemcitabina,0.05355579664879469,0.1
CelPeq,0.05191698089055811,0.1
Pembrolizumab,0.0509020427740723,0.1
TTPa (s)_sum,0.049433462358125416,0.1
OtrosFarmacos,0.04824775656772247,0.1
Fosfatasa Alcalina_min,0.04815488547343403,0.1
Potasio_quartile3,0.046249690210778606,0.1
TTPa (s)_std,0.04585025429852719,0.1
Leucocitos_sum,0.04285355241632187,0.1
Linea1Etoposido,0.04269893306331477,0.1
Alcohol,0.04133393525179043,0.1
Linea1Gemcitabina,0.04061750777219522,0.1
Alectinib,0.03942491098918046,0.1
Albumina_max,0.039204906804284574,0.1
Epidermoide,0.03914035245660558,0.1
Fosfatasa Alcalina_iqr,0.03898863712133234,0.1
Linfocitos_min,0.03892709849384587,0.1
Neutrófilos_quartile1,0.0383757435722773,0.1
Docetaxel,0.03836785969923939,0.1
CAurinario,0.03802733042605125,0.1
Hemoglobina_min,0.03791386791584823,0.1
Fosfatasa Alcalina_quartile3,0.03773643794580356,0.1
Plaquetas_max,0.03760502444210738,0.1
Hemoglobina_quartile1,0.037598241524136045,0.1
Sodio_iqr,0.03730328397489127,0.1
Albumina_iqr,0.035908947378121066,0.1
Hemoglobina_max,0.03584017179950938,0.1
TTPa (s)_homogeneous,0.03513597460261566,0.1
LDH_quartile3,0.035053018193091624,0.1
Plaquetas_kurtosis,0.035029010570405486,0.1
Obesidad,0.03481796889623259,0.1
CAORL,0.03467493141001233,0.1
Plaquetas_iqr,0.03392904271890606,0.1
Glucosa_mean,0.03364011870444621,0.1
Sodio_sum,0.03339804239148407,0.1
Indiferenciado,0.03204002022258612,0.1
Bilirrubina total_std,0.03154506819610477,0.1
Albumina_quartile1,0.031131957854258988,0.1
Linfocitos_quartile3,0.030778695074852827,0.1
Bilirrubina total_min,0.03075724425370592,0.1
Glucosa_sum,0.03066060850487788,0.1
TTPa (s)_min,0.029755904841395505,0.1
Nivolumab,0.029696578418953862,0.1
LDH_sum,0.029690609217477758,0.1
GOT_homogeneous,0.02963309914676632,0.1
Sodio_homogeneous,0.029094078183486496,0.1
Fosfatasa Alcalina_max,0.028986973899757833,0.1
Leucocitos_iqr,0.028838130298798312,0.1
Trasplante,0.028820574558805948,0.1
GGT_homogeneous,0.028028986710751592,0.1
Hemoglobina_initial,0.027841206090692003,0.1
Linfocitos_median,0.027751200785032657,0.1
Bilirrubina total_max,0.0275037663608379,0.1
GPT_homogeneous,0.027096196319263965,0.1
CIsquémica,0.026872638068878532,0.1
GPT_mean,0.026765482425080842,0.1
Neutrófilos_initial,0.026727373694039772,0.1
Linea1Pacli,0.02638486197583414,0.1
TP (s)_min,0.02637353920087362,0.1
