feature,importance,C_value
Extracellular Fluid/Total Body Water (ECF/TBW),0.25182640500287323,0.01
Vitamin D,0.22381694264842705,0.01
Bone Mass (BM),0.21916948607849038,0.01
Hepatic Fat Accumulation (HFA),0.14664908871674165,0.01
Intracellular Water (ICW),0.13242346658880533,0.01
High Density Lipoprotein (HDL),0.11317171430458219,0.01
Hyperlipidemia,0.11062441477265386,0.01
Diabetes Mellitus (DM),0.10133105322791199,0.01
Visceral Fat Area (VFA),0.10120395381383017,0.01
Alanin Aminotransferaz (ALT),0.07640286764709135,0.01
Hemoglobin (HGB),0.07279735942559228,0.01
Aspartat Aminotransferaz (AST),0.0715863055313006,0.01
Extracellular Water (ECW),0.06689295298041743,0.01
Gender,0.06275280085688514,0.01
Body Protein Content (Protein) (%),0.052504370068587054,0.01
Coronary Artery Disease (CAD),0.05150701748925033,0.01
Total Body Fat Ratio (TBFR) (%),0.05020925600013798,0.01
Comorbidity,0.048441962760012745,0.01
Hypothyroidism,0.047798270319245766,0.01
Height,0.044063793690217345,0.01
Total Cholesterol (TC),0.04389508057276974,0.01
Alkaline Phosphatase (ALP),0.041531049176115206,0.01
Lean Mass (LM) (%),0.03568197089558603,0.01
Triglyceride,0.029242060355163205,0.01
Muscle Mass (MM),0.029236395017188103,0.01
Weight,0.02142591633214349,0.01
Total Body Water (TBW),0.02064218736299482,0.01
Glucose,0.016242611302735094,0.01
Body Mass Index (BMI),0.012739076375713186,0.01
Age,0.012561234671641544,0.01
Visceral Fat Rating (VFR),0.00931284066111185,0.01
Visceral Muscle Area (VMA) (Kg),0.008870841673350002,0.01
Total Fat Content (TFC),0.007955826910980617,0.01
Obesity (%),0.005429861210210991,0.01
Low Density Lipoprotein (LDL),0.0035564652132112733,0.01
C-Reactive Protein (CRP),0.0015409615950452886,0.01
Glomerular Filtration Rate (GFR),0.0001997792455285091,0.01
Creatinine,1.7683022189338691e-06,0.01
