index,feature,mutual_info_raw,relevance_score
61,NumSaturatedRings,0.007872467521162108,0.9921275324788379
34,LabuteASA,0.00842194790303541,0.9915780520969646
173,fr_oxazole,0.009268191894419964,0.99073180810558
85,SMR_VSA7,0.009736312820482151,0.9902636871795178
93,SlogP_VSA3,0.009985892985934886,0.9900141070140651
22,EState_VSA7,0.010273311397354323,0.9897266886026457
39,MinAbsEStateIndex,0.01044828648299534,0.9895517135170047
143,fr_azo,0.010452928329695244,0.9895470716703048
87,SMR_VSA9,0.010589902332927892,0.9894100976670721
91,SlogP_VSA12,0.010590346069202283,0.9894096539307977
175,fr_para_hydroxylation,0.010751620998264322,0.9892483790017357
116,fr_Ar_N,0.010834870750547676,0.9891651292494523
140,fr_aniline,0.011281675327875718,0.9887183246721243
9,Chi2v,0.011314059503111373,0.9886859404968886
138,fr_amide,0.011414194241982312,0.9885858057580177
154,fr_guanido,0.01146362494029507,0.9885363750597049
156,fr_hdrzine,0.011498804914165106,0.9885011950858349
90,SlogP_VSA11,0.01194366623024834,0.9880563337697517
109,VSA_EState8,0.012250800124652628,0.9877491998753474
63,PEOE_VSA1,0.012461490575234713,0.9875385094247653
94,SlogP_VSA4,0.012781680991617694,0.9872183190083823
3,Chi0n,0.012808551488657116,0.9871914485113429
190,fr_tetrazole,0.013238610480428292,0.9867613895195717
137,fr_allylic_oxid,0.013245351188184262,0.9867546488118157
79,SMR_VSA10,0.013580896161661915,0.9864191038383381
127,fr_NH1,0.013592435329612407,0.9864075646703876
145,fr_benzene,0.013647454775283396,0.9863525452247166
41,MinEStateIndex,0.013922450307672474,0.9860775496923275
1,BertzCT,0.014147555196632133,0.9858524448033679
170,fr_nitro_arom,0.014415299808212545,0.9855847001917875
58,NumRotatableBonds,0.014979223535991792,0.9850207764640082
14,EState_VSA1,0.015129755479457163,0.9848702445205428
60,NumSaturatedHeterocycles,0.015223231076115784,0.9847767689238842
133,fr_SH,0.01581182714377727,0.9841881728562227
35,MaxAbsEStateIndex,0.0158972722785502,0.9841027277214498
26,FractionCSP3,0.015962902621046382,0.9840370973789536
37,MaxEStateIndex,0.016024380189521903,0.9839756198104781
65,PEOE_VSA11,0.01603906587101367,0.9839609341289863
36,MaxAbsPartialCharge,0.01605915098742816,0.9839408490125718
95,SlogP_VSA5,0.016210305860834495,0.9837896941391655
98,SlogP_VSA8,0.016272242657917158,0.9837277573420828
59,NumSaturatedCarbocycles,0.0164162631277307,0.9835837368722693
50,NumAliphaticRings,0.017770857447613864,0.9822291425523861
25,ExactMolWt,0.018126416709639326,0.9818735832903607
43,MolLogP,0.018350196042073996,0.981649803957926
47,NOCount,0.018363628790025732,0.9816363712099743
81,SMR_VSA3,0.01869142361640108,0.9813085763835989
