index,feature,mutual_info_raw,relevance_score
11,mean_speed_in_air1,0.014612675450560442,0.9853873245494396
40,max_x_extension3,0.014991113860613137,0.9850088861393869
301,num_of_pendown17,0.015099710147623568,0.9849002898523764
96,mean_acc_in_air6,0.01546228185442855,0.9845377181455714
210,mean_speed_on_paper12,0.015551038711136833,0.9844489612888632
217,disp_index13,0.015614967589212991,0.984385032410787
184,max_x_extension11,0.015667294355400152,0.9843327056445998
278,mean_gmrt16,0.015705954765659058,0.9842940452343409
412,pressure_var23,0.01606619291930489,0.9839338070806951
34,pressure_var2,0.016616082919723496,0.9833839170802765
39,gmrt_on_paper3,0.01738771593319166,0.9826122840668083
218,gmrt_in_air13,0.017586348165280263,0.9824136518347197
51,pressure_mean3,0.01794767501282779,0.9820523249871722
311,max_y_extension18,0.018051266410068934,0.9819487335899311
208,mean_jerk_on_paper12,0.018070380841578526,0.9819296191584215
164,gmrt_in_air10,0.01818779280367311,0.9818122071963269
222,mean_acc_in_air13,0.018702325835685762,0.9812976741643142
442,mean_jerk_on_paper25,0.018745861200273328,0.9812541387997267
314,mean_gmrt18,0.01877393490075585,0.9812260650992441
4,max_x_extension1,0.01877606506375251,0.9812239349362475
98,mean_gmrt6,0.019007966460106385,0.9809920335398936
373,num_of_pendown21,0.019711461472863512,0.9802885385271365
57,gmrt_on_paper4,0.01981321804908953,0.9801867819509105
226,mean_jerk_on_paper13,0.02027949466523804,0.979720505334762
196,pressure_var11,0.020583231932665313,0.9794167680673347
188,mean_gmrt11,0.02069598170228737,0.9793040182977126
150,mean_acc_in_air9,0.020770388338168022,0.979229611661832
365,max_y_extension21,0.02084180562225013,0.9791581943777499
293,max_y_extension17,0.021268409381544284,0.9787315906184557
246,mean_speed_on_paper14,0.02145135980353352,0.9785486401964665
154,mean_jerk_on_paper9,0.021513986185599965,0.9784860138144
313,mean_acc_on_paper18,0.02177665121552952,0.9782233487844705
66,mean_speed_on_paper4,0.02184406884995216,0.9781559311500478
221,max_y_extension13,0.02205221885607811,0.9779477811439219
231,pressure_mean13,0.022335912832716964,0.977664087167283
256,max_x_extension15,0.02258731063600372,0.9774126893639963
229,num_of_pendown13,0.022664659628711004,0.977335340371289
29,mean_speed_in_air2,0.022785462417134195,0.9772145375828658
64,mean_jerk_on_paper4,0.022815095382016093,0.9771849046179839
364,max_x_extension21,0.022901433667960713,0.9770985663320393
310,max_x_extension18,0.022983724420711393,0.9770162755792886
366,mean_acc_in_air21,0.02317409713210772,0.9768259028678923
68,paper_time4,0.02396068209011437,0.9760393179098856
1,disp_index1,0.024141020981506056,0.9758589790184939
433,disp_index25,0.024589000241804992,0.975410999758195
214,pressure_var12,0.024593847674428293,0.9754061523255717
348,mean_acc_in_air20,0.024782551029627786,0.9752174489703722
99,mean_jerk_in_air6,0.02485238665097622,0.9751476133490238
182,gmrt_in_air11,0.02503303114485833,0.9749669688551417
228,mean_speed_on_paper13,0.025057961578660137,0.9749420384213399
267,pressure_mean15,0.025396294695329225,0.9746037053046708
219,gmrt_on_paper13,0.02569325932577149,0.9743067406742285
279,mean_jerk_in_air16,0.025698792525383318,0.9743012074746167
436,max_x_extension25,0.026363646746561553,0.9736363532534384
201,gmrt_on_paper12,0.02652663013457346,0.9734733698654265
20,gmrt_in_air2,0.02676414369034852,0.9732358563096515
342,air_time20,0.02689572958215658,0.9731042704178434
438,mean_acc_in_air25,0.026956847233795322,0.9730431527662047
369,mean_jerk_in_air21,0.0281774779563726,0.9718225220436274
77,max_y_extension5,0.02900772676780683,0.9709922732321932
353,mean_speed_in_air20,0.02940714076248252,0.9705928592375175
191,mean_speed_in_air11,0.02963757222717467,0.9703624277728253
31,num_of_pendown2,0.02978245064577889,0.9702175493542211
368,mean_gmrt21,0.030176662752092742,0.9698233372479073
224,mean_gmrt13,0.03018376393561306,0.9698162360643869
376,pressure_var21,0.030361842153230345,0.9696381578467697
65,mean_speed_in_air4,0.030480699689380497,0.9695193003106195
276,mean_acc_in_air16,0.03103894327521095,0.968961056724789
44,mean_gmrt3,0.03115945912619056,0.9688405408738094
2,gmrt_in_air1,0.03132838390064174,0.9686716160993583
428,paper_time24,0.03146020761564827,0.9685397923843517
213,pressure_mean12,0.03199316785340578,0.9680068321465942
315,mean_jerk_in_air18,0.032078543685945426,0.9679214563140546
355,num_of_pendown20,0.03229805261720742,0.9677019473827926
259,mean_acc_on_paper15,0.03367109568464821,0.9663289043153518
421,mean_acc_on_paper24,0.03390766866609862,0.9660923313339014
435,gmrt_on_paper25,0.03468953654935625,0.9653104634506438
403,mean_acc_on_paper23,0.03486781161089425,0.9651321883891057
211,num_of_pendown12,0.03521295403325597,0.964787045966744
349,mean_acc_on_paper20,0.035254330391210065,0.9647456696087899
245,mean_speed_in_air14,0.03563386947882918,0.9643661305211708
21,gmrt_on_paper2,0.03587996889205236,0.9641200311079476
131,max_y_extension8,0.036156263146845724,0.9638437368531543
358,pressure_var20,0.03647886092366193,0.9635211390763381
321,pressure_mean18,0.03691391069772676,0.9630860893022732
377,total_time21,0.037064534735717025,0.962935465264283
195,pressure_mean11,0.0372303068751032,0.9627696931248968
298,mean_jerk_on_paper17,0.03825018856390905,0.961749811436091
37,disp_index3,0.03835123993273459,0.9616487600672654
401,max_y_extension23,0.038956157915149614,0.9610438420848504
444,mean_speed_on_paper25,0.0390425280064437,0.9609574719935563
237,gmrt_on_paper14,0.03936142684780153,0.9606385731521985
177,pressure_mean10,0.03990565741327323,0.9600943425867268
136,mean_jerk_on_paper8,0.040155732274743006,0.959844267725257
24,mean_acc_in_air2,0.040563060681066965,0.959436939318933
78,mean_acc_in_air5,0.04088847594660949,0.9591115240533905
374,paper_time21,0.0409904214520842,0.9590095785479158
441,mean_jerk_in_air25,0.04135467450733543,0.9586453254926646
128,gmrt_in_air8,0.04142100908673818,0.9585789909132618
344,gmrt_in_air20,0.04175505019804593,0.9582449498019541
118,mean_jerk_on_paper7,0.04189933516150157,0.9581006648384984
308,gmrt_in_air18,0.04217630203201228,0.9578236979679877
350,mean_gmrt20,0.04220880320435816,0.9577911967956418
181,disp_index11,0.04227257979728627,0.9577274202027137
418,max_x_extension24,0.04255344779727421,0.9574465522027258
175,num_of_pendown10,0.04276426032144531,0.9572357396785547
46,mean_jerk_on_paper3,0.042814668825446045,0.957185331174554
306,air_time18,0.04295728004630339,0.9570427199536966
8,mean_gmrt1,0.04342381806429518,0.9565761819357048
163,disp_index10,0.04350864538648036,0.9564913546135196
380,gmrt_in_air22,0.04374049948152381,0.9562595005184762
387,mean_jerk_in_air22,0.04440103088382363,0.9555989691161764
241,mean_acc_on_paper14,0.04447205587971803,0.955527944120282
198,air_time12,0.04463668600891779,0.9553633139910822
52,pressure_var3,0.04474889613129207,0.9552511038687079
382,max_x_extension22,0.04507095284852358,0.9549290471514764
49,num_of_pendown3,0.045724464699701706,0.9542755353002983
