feature,importance,C_value
PEOE_VSA8,0.16467462913568037,0.01
SlogP_VSA10,0.14361175276316485,0.01
Chi0v,0.14348745429370452,0.01
SMR_VSA6,0.1380774152788029,0.01
PEOE_VSA3,0.13772251465979335,0.01
PEOE_VSA9,0.13613450530427076,0.01
EState_VSA2,0.12389499444343122,0.01
fr_Imine,0.11815764517585663,0.01
BertzCT,0.1049622984572891,0.01
fr_aniline,0.10135764900735864,0.01
fr_allylic_oxid,0.09926155206000761,0.01
EState_VSA1,0.09770489999062591,0.01
fr_para_hydroxylation,0.08094291041640134,0.01
fr_unbrch_alkane,0.07999181417758514,0.01
fr_ArN,0.0793342489168265,0.01
PEOE_VSA2,0.07798930615561421,0.01
Chi1,0.07462341489952327,0.01
fr_guanido,0.07383845292535728,0.01
Chi0n,0.07372689150158418,0.01
fr_ketone_Topliss,0.07035542152329635,0.01
HeavyAtomMolWt,0.0668026048171187,0.01
SlogP_VSA12,0.06671253503685406,0.01
MinPartialCharge,0.06607812250232728,0.01
SlogP_VSA3,0.06495695087948547,0.01
LabuteASA,0.06342392614866355,0.01
EState_VSA5,0.06121459703008645,0.01
NumSaturatedCarbocycles,0.06026295441821054,0.01
Chi4n,0.0585247181981701,0.01
SMR_VSA7,0.0584390579094613,0.01
NHOHCount,0.05665337917228262,0.01
Chi2v,0.055747787567057866,0.01
Chi3n,0.05428065976229122,0.01
NumAliphaticHeterocycles,0.053174477870629976,0.01
fr_halogen,0.05265687730995506,0.01
PEOE_VSA10,0.05260342628419432,0.01
SMR_VSA1,0.05061424342280418,0.01
fr_hdrzine,0.049691276093375876,0.01
EState_VSA7,0.04517824885826482,0.01
fr_nitro,0.04515642844066977,0.01
SlogP_VSA4,0.04496713501730132,0.01
NumHAcceptors,0.044099034285010455,0.01
fr_priamide,0.04400882338805775,0.01
SlogP_VSA2,0.043959174680960486,0.01
fr_ester,0.04336482975527252,0.01
NumSaturatedRings,0.04257975821574563,0.01
MinEStateIndex,0.04088266471691029,0.01
fr_Ndealkylation2,0.0406555981658607,0.01
SMR_VSA3,0.04043152003721625,0.01
fr_aryl_methyl,0.03968406299688265,0.01
fr_piperdine,0.03922024907298779,0.01
fr_C_O,0.03849690193947431,0.01
NumHDonors,0.03835263686215997,0.01
Kappa1,0.03813178522154038,0.01
fr_methoxy,0.03659416787360148,0.01
PEOE_VSA12,0.036338899461578,0.01
MaxAbsPartialCharge,0.036279447662713946,0.01
Chi0,0.03576360825292641,0.01
PEOE_VSA6,0.03555760782183914,0.01
EState_VSA6,0.03499755833914463,0.01
fr_phenol,0.03450407867188349,0.01
fr_Ndealkylation1,0.03425449313841096,0.01
Chi3v,0.03417875075210603,0.01
PEOE_VSA14,0.03403968035206817,0.01
SlogP_VSA1,0.03317529021029211,0.01
fr_benzodiazepine,0.032596997690366565,0.01
fr_bicyclic,0.03131308788317338,0.01
fr_piperzine,0.030685112667146696,0.01
NumAromaticRings,0.029702449379601304,0.01
fr_Ar_OH,0.028786568733877572,0.01
Chi2n,0.02833166349414125,0.01
MolMR,0.02813723634574725,0.01
fr_sulfonamd,0.0280917837145638,0.01
SMR_VSA10,0.02783493968150445,0.01
NumAromaticHeterocycles,0.027460640595599026,0.01
fr_alkyl_carbamate,0.027185132289849145,0.01
PEOE_VSA7,0.027179028494628027,0.01
fr_nitro_arom_nonortho,0.02708892238881556,0.01
fr_Al_OH,0.02705676870855665,0.01
EState_VSA8,0.02657179982142801,0.01
HallKierAlpha,0.02654401669677767,0.01
NumValenceElectrons,0.02644763608911818,0.01
Chi4v,0.026288167446190107,0.01
HeavyAtomCount,0.025772640480117466,0.01
fr_ketone,0.025023549405123493,0.01
fr_Al_OH_noTert,0.024961785963353477,0.01
NumSaturatedHeterocycles,0.024896562013280665,0.01
fr_ether,0.02474908249819185,0.01
MolWt,0.0244195394831257,0.01
BalabanJ,0.02389145861940337,0.01
fr_nitro_arom,0.02388773219858467,0.01
fr_dihydropyridine,0.023700923224752285,0.01
FractionCSP3,0.023432615240048155,0.01
fr_sulfone,0.023088929902949865,0.01
NOCount,0.022701961202874144,0.01
fr_NH0,0.022453658966384665,0.01
Kappa2,0.02236382813853598,0.01
MaxPartialCharge,0.022277810406132224,0.01
fr_alkyl_halide,0.02125097947328008,0.01
fr_Nhpyrrole,0.01942443600278203,0.01
fr_Ar_NH,0.01942443600278203,0.01
fr_pyridine,0.01905600142708494,0.01
EState_VSA4,0.018181283464765163,0.01
fr_lactone,0.0178446246593262,0.01
MinAbsEStateIndex,0.017787178573932718,0.01
fr_phenol_noOrthoHbond,0.017473280558933612,0.01
fr_morpholine,0.016592273022137238,0.01
fr_benzene,0.015972129081801706,0.01
NumAromaticCarbocycles,0.015972129081801706,0.01
MolLogP,0.015586284998347374,0.01
SMR_VSA4,0.014964721014998328,0.01
fr_epoxide,0.013639196459693968,0.01
fr_nitrile,0.013010394662661249,0.01
fr_N_O,0.01286073139893325,0.01
SlogP_VSA8,0.012699013968717667,0.01
ExactMolWt,0.012648150738963347,0.01
RingCount,0.012595127795989064,0.01
fr_thiophene,0.012575400086176532,0.01
SlogP_VSA6,0.012568619770647476,0.01
fr_oxime,0.012530006318696258,0.01
VSA_EState9,0.012463931099628222,0.01
NumAliphaticCarbocycles,0.012390241421868694,0.01
fr_sulfide,0.01183921718856711,0.01
fr_tetrazole,0.01107320247604609,0.01
fr_NH2,0.010984918999616837,0.01
fr_term_acetylene,0.010885924260669779,0.01
fr_aldehyde,0.010459283649478946,0.01
fr_Ar_N,0.010372556777823321,0.01
fr_thiazole,0.010321136514191446,0.01
EState_VSA10,0.010124112922798368,0.01
fr_COO2,0.01012398332095596,0.01
fr_C_O_noCOO,0.0100851185904479,0.01
NumHeteroatoms,0.009936359913446888,0.01
fr_azo,0.009291356588827534,0.01
PEOE_VSA1,0.00914303536943329,0.01
MaxEStateIndex,0.008907286350794142,0.01
MaxAbsEStateIndex,0.008907286350794142,0.01
EState_VSA9,0.008812820274009042,0.01
fr_SH,0.008667436945774114,0.01
fr_C_S,0.007055200653402185,0.01
fr_urea,0.006857545817181198,0.01
Chi1v,0.006688233000778028,0.01
fr_amide,0.006439804245350954,0.01
fr_imidazole,0.006370066348714629,0.01
fr_nitroso,0.006314909890380925,0.01
fr_hdrzone,0.005796054887673416,0.01
fr_Ar_COO,0.0055844704054868795,0.01
fr_quatN,0.0053137494273266615,0.01
fr_amidine,0.005205025162296873,0.01
TPSA,0.0050176122417913095,0.01
fr_oxazole,0.004929596406210888,0.01
NumAliphaticRings,0.004757608764670535,0.01
fr_NH1,0.004426191800434907,0.01
PEOE_VSA11,0.004292096858313458,0.01
fr_furan,0.004124359669996148,0.01
Chi1n,0.0035879270419810864,0.01
fr_Al_COO,0.0035240628391752437,0.01
fr_phos_acid,0.0033653289506825946,0.01
fr_phos_ester,0.003350766828145196,0.01
NumRotatableBonds,0.0028107697377310462,0.01
SlogP_VSA5,0.0026905866557298147,0.01
fr_lactam,0.0023691342786293194,0.01
fr_COO,0.0020604075663116163,0.01
fr_imide,0.0019605563948299006,0.01
fr_HOCCN,0.001838648190583474,0.01
EState_VSA3,0.001787882785347299,0.01
MinAbsPartialCharge,0.0011697622609874042,0.01
SMR_VSA5,0.0010405010499347138,0.01
Kappa3,0.00020023327617587193,0.01
SMR_VSA9,0.0001480609866348563,0.01
VSA_EState8,7.081496541775913e-05,0.01
VSA_EState10,2.481321723690922e-05,0.01
SlogP_VSA11,1.5799953807036573e-05,0.01
PEOE_VSA13,8.911050766946982e-06,0.01
SlogP_VSA7,6.1494626087684825e-06,0.01
PEOE_VSA5,6.0532015113121655e-06,0.01
PEOE_VSA4,4.916978501809314e-06,0.01
Ipc,3.357672888666706e-06,0.01
EState_VSA11,1.51400702551396e-06,0.01
SMR_VSA2,1.022950897781755e-06,0.01
NumRadicalElectrons,0.0,0.01
VSA_EState2,0.0,0.01
VSA_EState5,0.0,0.01
VSA_EState6,0.0,0.01
VSA_EState3,0.0,0.01
VSA_EState4,0.0,0.01
VSA_EState1,0.0,0.01
VSA_EState7,0.0,0.01
SlogP_VSA9,0.0,0.01
SMR_VSA8,0.0,0.01
fr_isocyan,0.0,0.01
fr_diazo,0.0,0.01
fr_barbitur,0.0,0.01
fr_azide,0.0,0.01
fr_isothiocyan,0.0,0.01
fr_prisulfonamd,0.0,0.01
