index,feature,mutual_info_raw,relevance_score,n_neighbors
0,Age,0.0,1.0,19
10,Total Body Water (TBW),0.0,1.0,19
34,Glomerular Filtration Rate (GFR),0.0,1.0,19
32,Alkaline Phosphatase (ALP),0.0,1.0,19
31,Alanin Aminotransferaz (ALT),0.0,1.0,19
29,Triglyceride,0.0,1.0,19
26,Total Cholesterol (TC),0.0,1.0,19
20,Obesity (%),0.0,1.0,19
1,Gender,0.0,1.0,19
19,Muscle Mass (MM),0.0,1.0,19
9,Body Mass Index (BMI),0.0,1.0,19
8,Weight,0.0,1.0,19
3,Coronary Artery Disease (CAD),0.0,1.0,19
4,Hypothyroidism,0.0,1.0,19
7,Height,0.0,1.0,19
2,Comorbidity,0.0,1.0,19
18,Bone Mass (BM),0.003819834856308102,0.9961801651436919,19
15,Lean Mass (LM) (%),0.005921046583273526,0.9940789534167265,19
14,Total Body Fat Ratio (TBFR) (%),0.006469228584897735,0.9935307714151023,19
5,Hyperlipidemia,0.00759849927277223,0.9924015007272278,19
16,Body Protein Content (Protein) (%),0.008981761449130765,0.9910182385508692,19
12,Intracellular Water (ICW),0.012001911356283479,0.9879980886437165,19
25,Glucose,0.012444918199553179,0.9875550818004468,19
11,Extracellular Water (ECW),0.012477297278456145,0.9875227027215439,19
23,Visceral Muscle Area (VMA) (Kg),0.014249536913848004,0.985750463086152,19
27,Low Density Lipoprotein (LDL),0.01683842900712529,0.9831615709928747,19
30,Aspartat Aminotransferaz (AST),0.01742080758344766,0.9825791924165523,19
33,Creatinine,0.017893311512252374,0.9821066884877476,19
36,Hemoglobin (HGB),0.01839074864435597,0.981609251355644,19
6,Diabetes Mellitus (DM),0.022881613922987487,0.9771183860770125,19
21,Total Fat Content (TFC),0.023984912996244834,0.9760150870037552,19
22,Visceral Fat Area (VFA),0.025024999270467863,0.9749750007295321,19
28,High Density Lipoprotein (HDL),0.025531499127717794,0.9744685008722822,19
17,Visceral Fat Rating (VFR),0.030691400613174658,0.9693085993868253,19
13,Extracellular Fluid/Total Body Water (ECF/TBW),0.04203000119436373,0.9579699988056363,19
37,Vitamin D,0.0589885247869848,0.9410114752130152,19
24,Hepatic Fat Accumulation (HFA),0.06626409259102761,0.9337359074089724,19
35,C-Reactive Protein (CRP),0.16813824704063096,0.831861752959369,19
