index,feature,importance
723,ATSC7p,0.002612640578967424
528,ATSC1v,0.0024734983104374724
270,ETA_BetaP_s,0.0024357110478548582
866,MLogP,0.002138508789940782
0,MATS3v,0.0021202934852220328
683,SwHBa,0.002092516670402268
1042,AATSC7p,0.002052926852755476
332,MATS7p,0.0020322077950256
98,MDEC-23,0.002031650070049154
349,ATSC3v,0.0020014087962817104
1184,AATSC1v,0.0019956988133976784
1080,GATS8s,0.0019355507015156826
994,ZMIC1,0.0019118505240293805
784,GATS7v,0.001904245734181105
143,AATSC3v,0.0018946491570646794
911,MATS8i,0.001879846314030002
283,nC,0.00187799645789794
94,ATS8e,0.0018347068366073806
1030,C3SP2,0.0018254111535019105
22,SpMax8_Bhp,0.0018175284675492672
888,maxHBint5,0.0018143036788798026
1074,GATS8e,0.001796752327268697
421,ATS8i,0.0017720022434028035
645,EE_Dt,0.001758233948804266
127,ATSC8i,0.0017521380912773167
335,MATS7i,0.0017244545630644556
662,nHBint5,0.0017177913493102502
61,SpMax3_Bhm,0.0016977146110638934
273,minssNH,0.0016851720148588604
950,AATSC7c,0.001677067406969558
856,AATSC5c,0.0016756193168950863
924,SHBint5,0.0016630091064088884
337,MATS7c,0.0016607699642084558
269,MATS6c,0.0016583317385644243
1044,AATSC7i,0.0016462984796461373
1040,AATSC7v,0.0016381530085596825
657,nHBint3,0.0016328506066625983
587,AATSC8i,0.0016212584598550234
440,nAtomLC,0.0016203925081177933
171,MATS1v,0.0016182856399695829
241,ETA_Epsilon_5,0.0016088612990327082
459,nHaaCH,0.001588222504767322
218,CIC1,0.0015723475512066391
163,minaaN,0.0015659667016491396
860,AATSC5i,0.001555861869227051
334,MATS7v,0.0015550503068543116
355,maxssNH,0.0015487448604480237
450,MATS6p,0.0015381402143967234
242,ETA_Epsilon_4,0.0015261638428572405
336,MATS7m,0.0015204688122528872
728,ATSC7c,0.001514842216346466
785,GATS7p,0.0015136056278911556
569,nT9HeteroRing,0.001508338530273257
302,nF9HeteroRing,0.0014979391912266072
782,GATS7c,0.0014958853305253046
899,ATSC5i,0.0014824276149395625
1057,naaCH,0.001480971940071905
1043,AATSC7m,0.0014752856277433968
221,CIC2,0.001474715128201743
360,SpMax7_Bhe,0.0014713884621297838
898,nHother,0.0014672304848923003
403,SHaaCH,0.0014628864153143236
919,SHBint8,0.0014584966336234633
832,SpMin4_Bhs,0.001445376847199231
230,SpDiam_Dt,0.0014429659915512517
882,C1SP2,0.0014429127700750991
1201,ETA_dEpsilon_C,0.0014395368457621337
818,ATSC6c,0.0014364927792720377
990,khs.aaCH,0.0014353804564608962
