feature,importance,C_value
BACT.1,1.9918478009663625,1.0
Adenocarcinoma,0.13226631622041635,1.0
TNMIV,0.13073307251885571,1.0
Adenoescamoso,0.09216151425529509,1.0
TNMCOD,0.08816322108369365,1.0
HistOtros,0.08625260322762682,1.0
CelPeq,0.08606898043205878,1.0
Sodio_min,0.08363173602889323,1.0
Linea1Cisplatino,0.06518123742029043,1.0
Epidermoide,0.06000687395928022,1.0
Alcohol,0.05416826350740666,1.0
Alectinib,0.049092411388935185,1.0
Gemcitabina,0.04873870743872303,1.0
TTPa (s)_sum,0.0487351959487018,1.0
Pembrolizumab,0.04827817387034256,1.0
Nivolumab,0.04789865737773725,1.0
Linea1Pembro,0.046953985126907245,1.0
Calcio_max,0.045263790137231155,1.0
Linea1Pacli,0.04504210347065285,1.0
Neutrófilos_sum,0.04494680031481973,1.0
Fosfatasa Alcalina_quartile3,0.04438274216208716,1.0
TTPa (s)_std,0.04398131106203997,1.0
Hemoglobina_min,0.043545028376023774,1.0
Potasio_quartile3,0.04339435548218683,1.0
OtrosFarmacos,0.04336472869849408,1.0
Albumina_iqr,0.042971991100405504,1.0
Fosfatasa Alcalina_min,0.042884709076399796,1.0
Glucosa_mean,0.04280607105633612,1.0
Linea1Etoposido,0.042437299855106636,1.0
CAORL,0.04190026353799073,1.0
Leucocitos_sum,0.04063071128295216,1.0
Fosfatasa Alcalina_homogeneous,0.04022434890980428,1.0
Potasio_min,0.04011376049177502,1.0
Plaquetas_iqr,0.038847648713259395,1.0
GOT_min,0.0384797085040691,1.0
Linea1Vinorelbina,0.038291864469218284,1.0
TP (s)_sum,0.03799389208001104,1.0
GOT_std,0.03759748233254397,1.0
Leucocitos_quartile1,0.03693969244703344,1.0
Lorlatinib,0.03667586408962289,1.0
Albumina_max,0.036348626600929676,1.0
Neutrófilos_initial,0.03554552065657811,1.0
TTPa (s)_homogeneous,0.035039910381061454,1.0
TTPa (s)_quartile1,0.03498534327873779,1.0
GOT_max,0.03496701800950814,1.0
missingindicator_GGT_initial,0.03453422574366266,1.0
Irinotecan,0.03424518661830083,1.0
Glucosa_quartile1,0.03417956361243604,1.0
Bilirrubina total_max,0.03368332689978762,1.0
Linea1Pemetrexed,0.03334207634173524,1.0
Sodio_homogeneous,0.033252828554008344,1.0
Plaquetas_kurtosis,0.03278548140781992,1.0
Neutrófilos_quartile1,0.03236590703710948,1.0
Linea1Gemcitabina,0.03215635966375103,1.0
EPOCAsma,0.032049996465029894,1.0
NeoHEM,0.03182459391866819,1.0
GPT_homogeneous,0.03162577982713764,1.0
CADigestivo,0.03150137061857215,1.0
Leucocitos_iqr,0.031195212883291232,1.0
Urea_kurtosis,0.031158572198982895,1.0
TTPa (s)_min,0.031157248502875896,1.0
TP (s)_std,0.030936215972041083,1.0
Fosfatasa Alcalina_sum,0.030503029266422996,1.0
Potasio_iqr,0.030377211093788388,1.0
missingindicator_Urea_initial,0.03030094514638502,1.0
FRA,0.030187966204758696,1.0
