feature,importance,C_value
PEOE_VSA8,0.24955350409466154,100.0
PEOE_VSA9,0.239565140033198,100.0
SlogP_VSA10,0.22334187453744453,100.0
fr_Imine,0.19393647889075757,100.0
Chi0v,0.18766962015504998,100.0
SMR_VSA6,0.18028850482510192,100.0
BertzCT,0.1789896824201927,100.0
PEOE_VSA3,0.17092633454222403,100.0
fr_aniline,0.1618112408883095,100.0
EState_VSA1,0.1591304312473991,100.0
fr_ketone_Topliss,0.1513010034805746,100.0
EState_VSA2,0.15116959493211032,100.0
PEOE_VSA2,0.1467889327077538,100.0
SlogP_VSA12,0.13739671039451576,100.0
fr_guanido,0.13500237410211552,100.0
SlogP_VSA3,0.13298719425912459,100.0
Chi2v,0.13270315865845198,100.0
fr_unbrch_alkane,0.12954888889824998,100.0
EState_VSA5,0.12898236900324328,100.0
Chi1,0.12644138858529042,100.0
fr_ArN,0.11831821303499564,100.0
NumSaturatedCarbocycles,0.11426942926342708,100.0
fr_piperdine,0.11392985643952461,100.0
Chi0n,0.11214166543332497,100.0
fr_hdrzine,0.11065169285824888,100.0
fr_ester,0.09499336391146915,100.0
MinPartialCharge,0.09107893195002756,100.0
fr_alkyl_halide,0.09064603746682166,100.0
NumAromaticRings,0.09005965916294367,100.0
fr_C_O,0.08773607389379755,100.0
SMR_VSA3,0.08646946892974641,100.0
fr_nitro,0.08600774349176746,100.0
MolWt,0.08591918098634804,100.0
fr_benzodiazepine,0.08383108501809276,100.0
fr_priamide,0.0836823976437256,100.0
SMR_VSA1,0.08342954719024574,100.0
HeavyAtomMolWt,0.0829134504625086,100.0
NumAliphaticHeterocycles,0.08088050010523463,100.0
Chi4n,0.07950130466168308,100.0
NHOHCount,0.0749711371194251,100.0
PEOE_VSA12,0.07473123902057643,100.0
fr_allylic_oxid,0.0708424073641706,100.0
NumHAcceptors,0.07031994201825502,100.0
LabuteASA,0.06982061808583183,100.0
SlogP_VSA4,0.06956208378545607,100.0
MinEStateIndex,0.06437882324272706,100.0
fr_Nhpyrrole,0.06208492425539229,100.0
fr_Ar_NH,0.06208492425539229,100.0
MolMR,0.06140578640543013,100.0
EState_VSA7,0.06131198611702895,100.0
EState_VSA10,0.06099868364398844,100.0
FractionCSP3,0.05902360709192286,100.0
SlogP_VSA1,0.058848313348344866,100.0
fr_phenol,0.05862198767008447,100.0
Chi3v,0.0585296833850284,100.0
PEOE_VSA14,0.05696433060472184,100.0
SlogP_VSA6,0.05695685181653817,100.0
fr_para_hydroxylation,0.05499716482187691,100.0
MaxAbsPartialCharge,0.05307980016639164,100.0
fr_nitro_arom_nonortho,0.052919348527239084,100.0
NumSaturatedRings,0.052499335449253746,100.0
fr_ether,0.051109246473602536,100.0
fr_nitro_arom,0.05083910749968574,100.0
fr_pyridine,0.04805905206907048,100.0
