feature,importance,C_value
Hyperlipidemia,1.4740835685166322,1.0
Gender,1.3033819012575423,1.0
Bone Mass (BM),1.0919285776051748,1.0
Hypothyroidism,0.9795816788791625,1.0
Diabetes Mellitus (DM),0.7959726022785766,1.0
Muscle Mass (MM),0.7305390739792189,1.0
Visceral Fat Rating (VFR),0.626615055347128,1.0
Extracellular Water (ECW),0.6013224689188054,1.0
Total Fat Content (TFC),0.5509433700281547,1.0
Vitamin D,0.5479610791834908,1.0
Coronary Artery Disease (CAD),0.5132622398084159,1.0
Age,0.4979284832040298,1.0
Intracellular Water (ICW),0.4630155486210937,1.0
Body Protein Content (Protein) (%),0.4463101102517858,1.0
Visceral Fat Area (VFA),0.3959059921470739,1.0
Total Body Fat Ratio (TBFR) (%),0.39309291886671405,1.0
Body Mass Index (BMI),0.3533932768207343,1.0
Hemoglobin (HGB),0.3008162383546523,1.0
Height,0.28735611402502337,1.0
Extracellular Fluid/Total Body Water (ECF/TBW),0.27795149045289386,1.0
Lean Mass (LM) (%),0.2694549441279098,1.0
Total Cholesterol (TC),0.25520769778816316,1.0
Comorbidity,0.21925607871442868,1.0
Hepatic Fat Accumulation (HFA),0.20002260739019984,1.0
High Density Lipoprotein (HDL),0.18896857183507337,1.0
Low Density Lipoprotein (LDL),0.1742900044232923,1.0
Aspartat Aminotransferaz (AST),0.13128467156684898,1.0
Alanin Aminotransferaz (ALT),0.08474168631580485,1.0
Triglyceride,0.08102087538846699,1.0
Alkaline Phosphatase (ALP),0.06800781346302649,1.0
Visceral Muscle Area (VMA) (Kg),0.059382950512415565,1.0
Total Body Water (TBW),0.051591343313577946,1.0
Weight,0.04748534828408046,1.0
Glucose,0.03455205418605113,1.0
Obesity (%),0.005757550249511354,1.0
Glomerular Filtration Rate (GFR),0.002773036086532259,1.0
C-Reactive Protein (CRP),0.002155705664765723,1.0
Creatinine,3.172069859346595e-05,1.0
